epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,160.504,0.90857,1.80369,9.6351,1.13406,0,0.73995,0.68827,0.80559,0.52218,0.73995,0.68827,0.80559,0.56194,1.29734,1.73257,8.88991,1.31537,0,0.000199145,0.000199145,0.0802846
2,316.034,0.91619,1.73314,7.836,1.12504,0,0.81535,0.75565,0.82387,0.45865,0.80891,0.75308,0.81875,0.63826,1.61346,0.68887,8.97213,1.67032,0,0.000399115,0.000399115,0.0604846
3,469.973,0.89465,1.64022,7.24984,1.11108,0,0.89471,0.86359,0.93028,0.62696,0.89471,0.86359,0.93028,0.79291,1.21769,0.49971,5.60607,1.20497,0,0.000598965,0.000598965,0.0406844
4,622.274,0.85408,1.56926,6.68509,1.09952,0,0.84993,0.82437,0.86728,0.64968,0.83662,0.80736,0.84974,0.67524,0.97194,1.62796,6.17544,1.05323,0,0.000798603,0.000798603,0.0208841
5,774.397,0.85155,1.55244,6.60396,1.09592,0,0.8567,0.8417,0.90135,0.6769,0.8567,0.8417,0.90135,0.75116,0.94092,0.74991,6.93722,1.04747,0,0.000997941,0.000997941,0.00108341
6,926.127,0.83188,1.5135,6.33786,1.08674,0,0.85999,0.88326,0.91945,0.71783,0.85999,0.88326,0.91945,0.78609,0.88558,0.47678,4.94383,0.99572,0,0.000998116,0.000998116,0.000998116
7,1078.22,0.80191,1.4836,5.94299,1.07104,0,0.87987,0.87698,0.95727,0.70702,0.87987,0.87698,0.95727,0.79893,1.09106,0.4115,4.3659,1.10363,0,0.000997288,0.000997288,0.000997288
8,1230.16,0.78458,1.43662,5.62074,1.06583,0,0.94908,0.95689,0.97542,0.79315,0.94908,0.95689,0.97542,0.85465,0.79053,0.36361,3.19171,0.95594,0,0.00099631,0.00099631,0.00099631
9,1382.25,0.77564,1.3965,5.43931,1.05722,0,0.94498,0.91522,0.9735,0.7619,0.94498,0.91522,0.9735,0.83375,0.88615,0.62231,4.74303,1.01007,0,0.000995183,0.000995183,0.000995183
10,1534.11,0.75479,1.38685,5.30586,1.0514,0,0.93256,0.95473,0.98339,0.75383,0.93256,0.95473,0.98339,0.8659,0.92884,0.36652,3.32743,1.01408,0,0.000993906,0.000993906,0.000993906
11,1686.02,0.74387,1.33682,5.15108,1.04266,0,0.98126,0.94357,0.98788,0.77671,0.98126,0.94357,0.98788,0.86521,0.89464,0.34799,3.15024,0.99198,0,0.00099248,0.00099248,0.00099248
12,1838.1,0.73529,1.31793,5.0071,1.03768,0,0.93891,0.958,0.97297,0.79457,0.93891,0.958,0.97297,0.85825,0.7574,0.35822,3.14852,0.93521,0,0.000990905,0.000990905,0.000990905
13,1990.43,0.73114,1.29956,4.87725,1.03517,0,0.94877,0.94336,0.97253,0.77889,0.95009,0.94579,0.97294,0.85198,0.82753,0.37207,3.45985,0.97185,0,0.000989183,0.000989183,0.000989183
14,2142.13,0.71749,1.29661,4.87956,1.03746,0,0.96214,0.95451,0.98276,0.7832,0.96214,0.95451,0.98276,0.86313,0.87708,0.34381,2.86363,0.9912,0,0.000987313,0.000987313,0.000987313
15,2293.89,0.70598,1.2854,4.6987,1.0306,0,0.96262,0.96232,0.98925,0.77651,0.96262,0.96232,0.98925,0.85281,0.97021,0.34373,3.19745,1.03358,0,0.000985296,0.000985296,0.000985296
16,2446.37,0.70768,1.2709,4.62057,1.02593,0,0.97273,0.94148,0.98605,0.77569,0.97273,0.94148,0.98605,0.84473,0.90504,0.3681,3.02986,1.00065,0,0.000983133,0.000983133,0.000983133
17,2599.84,0.69016,1.26144,4.57672,1.02004,0,0.97336,0.97162,0.9867,0.72225,0.97336,0.97162,0.9867,0.83991,1.06022,0.33132,3.2042,1.08254,0,0.000980825,0.000980825,0.000980825
18,2752.54,0.68401,1.24544,4.54338,1.02344,0,0.97641,0.95907,0.98627,0.82401,0.97641,0.95907,0.98627,0.8915,0.71636,0.33079,2.5579,0.91895,0,0.000978371,0.000978371,0.000978371
19,2904.75,0.67855,1.24632,4.4668,1.01569,0,0.96604,0.98243,0.98902,0.81556,0.96604,0.98243,0.98902,0.88709,0.80419,0.32338,2.79547,0.9466,0,0.000975773,0.000975773,0.000975773
20,3057.03,0.68513,1.2306,4.46774,1.01702,0,0.97872,0.97475,0.99245,0.80695,0.97872,0.97475,0.99245,0.89779,0.80408,0.34207,2.62561,0.94135,0,0.000973032,0.000973032,0.000973032
21,3209.29,0.67154,1.20163,4.35437,1.01436,0,0.97748,0.95495,0.99014,0.7501,0.97748,0.95495,0.99014,0.85651,0.98202,0.32089,3.1628,1.04158,0,0.000970148,0.000970148,0.000970148
22,3361.38,0.6635,1.20344,4.31906,1.01476,0,0.98326,0.99167,0.99472,0.80548,0.98326,0.99167,0.99472,0.90093,0.81653,0.35421,2.54442,0.9584,0,0.000967122,0.000967122,0.000967122
23,3513.96,0.66072,1.19443,4.30613,1.01328,0,0.99378,0.97457,0.99369,0.86049,0.99378,0.97457,0.99369,0.89959,0.62421,0.31615,2.18509,0.88559,0,0.000963956,0.000963956,0.000963956
24,3666.64,0.65332,1.17599,4.19312,1.00551,0,0.92478,0.97073,0.98603,0.81953,0.92478,0.97073,0.98603,0.88029,0.79624,0.36789,2.76657,0.9574,0,0.00096065,0.00096065,0.00096065
25,3818.14,0.64703,1.16411,4.18088,0.99762,0,0.98672,0.9779,0.99337,0.79914,0.98672,0.9779,0.99337,0.8908,0.82681,0.33681,2.44972,0.96357,0,0.000957205,0.000957205,0.000957205
26,3970.75,0.64235,1.17281,4.1696,1.00913,0,0.99221,0.97535,0.99261,0.86038,0.99221,0.97535,0.99261,0.89258,0.65186,0.29861,2.21528,0.90457,0,0.000953622,0.000953622,0.000953622
27,4122.78,0.64326,1.16879,4.14239,1.0066,0,0.98368,0.99167,0.994,0.84859,0.98368,0.99167,0.994,0.91265,0.69299,0.36417,2.25,0.91465,0,0.000949903,0.000949903,0.000949903
28,4275.12,0.63282,1.14399,3.99458,0.99627,0,0.98724,0.98567,0.99396,0.85223,0.98724,0.98567,0.99396,0.91524,0.66346,0.36288,2.12837,0.89597,0,0.000946048,0.000946048,0.000946048
29,4427.25,0.63283,1.14771,3.97857,1.00138,0,0.96289,0.95422,0.97667,0.84185,0.96289,0.95422,0.97667,0.89866,0.64357,0.337,2.40593,0.89065,0,0.000942059,0.000942059,0.000942059
30,4579.18,0.62598,1.14082,3.98596,0.99886,0,0.97472,0.9948,0.99383,0.77487,0.97472,0.9948,0.99383,0.86618,0.93915,0.32719,2.56549,1.0143,0,0.000937937,0.000937937,0.000937937
31,4731.35,0.62615,1.12665,3.95234,0.99289,0,0.99086,0.98394,0.9917,0.89015,0.99086,0.98394,0.9917,0.9102,0.48979,0.3293,1.90736,0.84831,0,0.000933683,0.000933683,0.000933683
32,4883.69,0.62782,1.12149,3.96967,0.99025,0,0.97882,0.98494,0.99186,0.86923,0.97882,0.98494,0.99186,0.91188,0.56124,0.32554,2.03689,0.86258,0,0.000929298,0.000929298,0.000929298
