                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99311,                  3.375,                 1.3532,                0.73712,                0.95026,                 0.9681,                0.69863,                0.92307,                 3.7425,                  1.328,               0.080316,             0.00019883,             0.00019883
                      2,                 0.8203,                 1.8969,                 1.2148,                0.67612,                    0.8,                 0.8812,                0.66371,                0.79258,                  2.396,                 1.2119,               0.060516,             0.00039873,             0.00039873
                      3,                0.87672,                 1.9636,                 1.2296,                0.84205,                0.92356,                0.95738,                0.60408,                 1.0236,                 2.3594,                 1.3653,               0.040715,             0.00059825,             0.00059825
                      4,                0.84816,                 1.9329,                 1.2131,                0.39205,                0.60918,                0.40533,                0.19637,                 1.5955,                 6.3197,                 1.6082,               0.020914,             0.00079708,             0.00079708
                      5,                 0.8112,                 1.7766,                 1.1954,                0.87686,                0.89408,                0.91748,                0.63077,                0.88196,                 2.5071,                  1.224,              0.0011119,             0.00099493,             0.00099493
                      6,                0.82072,                 1.7395,                 1.2119,                0.85861,                0.92673,                0.96608,                0.65596,                0.98654,                 2.3629,                 1.3169,             0.00099391,             0.00099391,             0.00099391
                      7,                0.77522,                 1.6913,                 1.1642,                0.89291,                0.92793,                0.97409,                0.68428,                0.89245,                 1.9985,                 1.2343,             0.00099123,             0.00099123,             0.00099123
                      8,                0.73476,                 1.5749,                 1.1497,                0.88372,                0.93767,                0.97848,                0.70873,                 0.7884,                 1.9569,                  1.144,             0.00098808,             0.00098808,             0.00098808
                      9,                0.68942,                 1.4706,                 1.1278,                0.84661,                0.94682,                0.96614,                0.69648,                0.73608,                 1.8451,                 1.1571,             0.00098445,             0.00098445,             0.00098445
                     10,                0.71891,                 1.5148,                 1.1366,                0.81989,                0.66667,                0.70855,                0.50675,                0.82053,                 6.7926,                 1.2349,             0.00098035,             0.00098035,             0.00098035
                     11,                0.71125,                 1.4954,                 1.1062,                0.92534,                0.96658,                 0.9888,                0.72897,                 0.7019,                 1.6357,                 1.1613,             0.00097577,             0.00097577,             0.00097577
