                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3985,                 4.3904,                 1.9636,                0.64987,                0.86552,                0.85334,                0.57165,                0.94446,                 4.3975,                 1.4598,               0.080547,             0.00019649,             0.00019649
                      2,                 1.2599,                 2.4733,                 1.6349,                0.85309,                0.62053,                0.67987,                0.35523,                  1.446,                 6.4395,                 3.1092,               0.060747,             0.00039644,             0.00039644
                      3,                 1.2258,                 2.3445,                 1.5253,                0.65468,                0.81454,                0.83738,                0.41655,                 1.6079,                 8.2064,                 3.7228,               0.040947,             0.00059619,             0.00059619
                      4,                 1.1258,                 2.0941,                 1.4892,                0.65532,                0.38421,                0.45907,                0.21628,                 1.4516,                 7.7998,                 2.3811,               0.021146,              0.0007956,              0.0007956
                      5,                 1.1546,                 2.0378,                 1.5393,                0.81941,                0.32432,                0.18261,                0.06934,                 2.0465,                  12.34,                 2.8669,              0.0013454,             0.00099451,             0.00099451
                      6,                 1.1645,                 2.0624,                 1.5156,                0.79746,                0.67838,                0.62304,                0.31012,                 1.4917,                 6.8734,                 2.2702,             0.00099689,             0.00099689,             0.00099689
                      7,                 1.1616,                 1.9419,                  1.514,                0.76683,                0.76713,                0.87249,                0.51064,                 1.2114,                 4.0398,                  1.937,             0.00099552,             0.00099552,             0.00099552
                      8,                 1.1686,                 1.8731,                 1.4433,                0.73817,                0.32323,                0.10026,                 0.0511,                 1.5177,                 6.9469,                 2.1106,             0.00099391,             0.00099391,             0.00099391
                      9,                 1.1085,                 1.7578,                 1.4344,                 0.7475,                0.91353,                0.92193,                0.57546,                 1.1395,                 2.1279,                 1.6534,             0.00099205,             0.00099205,             0.00099205
                     10,                 1.1153,                 1.8659,                 1.4985,                0.87553,                0.90178,                0.91389,                0.48393,                 1.3696,                 2.1622,                 1.9252,             0.00098994,             0.00098994,             0.00098994
                     11,                 1.0941,                  1.762,                 1.4567,                0.70253,                0.78931,                0.84992,                0.53839,                 1.1445,                 2.8745,                 1.6066,             0.00098759,             0.00098759,             0.00098759
                     12,                 1.0555,                 1.7545,                  1.457,                 0.8178,                0.84221,                0.94594,                0.60413,                 1.0926,                 2.2583,                  1.541,               0.000985,               0.000985,               0.000985
                     13,                  1.004,                 1.6405,                 1.4317,                0.79566,                0.25025,                0.12106,                0.06099,                 1.5002,                 9.0829,                 1.8333,             0.00098216,             0.00098216,             0.00098216
                     14,                 1.0365,                 1.6712,                 1.4552,                0.70196,                0.86827,                0.91619,                0.65244,                   0.84,                 2.5636,                 1.2654,             0.00097909,             0.00097909,             0.00097909
                     15,                 1.0363,                 1.6975,                 1.3585,                 0.7932,                0.93584,                0.89725,                0.64651,                0.84707,                 1.9297,                 1.3096,             0.00097577,             0.00097577,             0.00097577
                     16,                 1.0217,                 1.6008,                 1.3336,                0.82244,                0.91037,                0.94841,                0.64888,                0.90347,                 1.4161,                 1.3585,             0.00097222,             0.00097222,             0.00097222
                     17,                0.98788,                 1.5557,                 1.3408,                0.85715,                0.89568,                0.93142,                0.53322,                 1.2848,                 1.4972,                 1.7608,             0.00096844,             0.00096844,             0.00096844
                     18,                 1.0233,                 1.6052,                 1.3973,                0.83919,                0.94707,                0.96853,                0.69782,                0.85723,                 1.4569,                 1.2839,             0.00096442,             0.00096442,             0.00096442
                     19,                0.97187,                 1.5116,                  1.355,                0.73721,                0.88566,                0.92508,                0.67225,                0.78884,                 1.8025,                   1.21,             0.00096017,             0.00096017,             0.00096017
                     20,                 1.0242,                 1.6145,                 1.4109,                0.67466,                0.80745,                0.91875,                0.52989,                 1.3001,                 3.4123,                 1.7521,             0.00095569,             0.00095569,             0.00095569
                     21,                0.97065,                 1.5108,                 1.3358,                0.70761,                0.72097,                 0.8644,                0.56195,                 1.0919,                 2.9211,                 1.5109,             0.00095098,             0.00095098,             0.00095098
                     22,                0.99336,                 1.5081,                 1.3548,                0.80791,                0.85199,                0.92633,                0.65668,                0.85461,                 1.8807,                 1.2607,             0.00094605,             0.00094605,             0.00094605
                     23,                0.99575,                 1.4963,                  1.342,                0.79964,                0.91782,                 0.9648,                0.61199,                 1.0617,                 1.7219,                 1.5035,             0.00094089,             0.00094089,             0.00094089
                     24,                 0.9713,                 1.4627,                  1.359,                0.88661,                0.93144,                0.98003,                0.66693,                0.85092,                 1.2628,                 1.2842,             0.00093552,             0.00093552,             0.00093552
                     25,                0.95946,                 1.4828,                 1.3628,                0.78632,                0.92881,                0.92767,                0.66044,                0.81513,                 1.4828,                 1.2645,             0.00092993,             0.00092993,             0.00092993
                     26,                0.91818,                 1.4297,                  1.336,                0.92184,                0.96714,                0.98606,                0.67447,                0.88952,                 1.3062,                 1.3147,             0.00092413,             0.00092413,             0.00092413
                     27,                0.94115,                 1.4336,                 1.2845,                0.86359,                0.96375,                0.96632,                0.60379,                 1.0738,                 1.3139,                  1.494,             0.00091811,             0.00091811,             0.00091811
                     28,                0.91693,                 1.4072,                 1.3345,                0.82555,                0.96551,                0.97828,                0.67627,                 0.8769,                 1.3902,                 1.2811,             0.00091189,             0.00091189,             0.00091189
                     29,                0.90794,                 1.3774,                 1.3301,                0.80293,                0.66667,                0.89104,                0.61487,                0.88087,                 3.1829,                   1.29,             0.00090546,             0.00090546,             0.00090546
                     30,                0.93424,                 1.4003,                 1.3742,                0.83376,                 0.9246,                0.96599,                0.68851,                0.80711,                 1.4349,                 1.2276,             0.00089883,             0.00089883,             0.00089883
                     31,                0.90817,                 1.4812,                 1.2896,                0.81125,                0.65657,                0.75003,                0.49922,                0.92566,                 3.1715,                 1.3482,             0.00089201,             0.00089201,             0.00089201
                     32,                0.89562,                 1.3459,                 1.3397,                0.62237,                0.87771,                 0.9612,                0.70547,                0.75788,                 2.8028,                 1.2035,             0.00088498,             0.00088498,             0.00088498
                     33,                0.93158,                 1.3137,                 1.3289,                0.91228,                0.97223,                0.98469,                0.69953,                0.79846,                  1.166,                 1.2291,             0.00087777,             0.00087777,             0.00087777
                     34,                0.90098,                 1.3597,                 1.2915,                0.84699,                0.77186,                0.97595,                 0.6239,                0.98647,                 2.1482,                  1.396,             0.00087037,             0.00087037,             0.00087037
                     35,                0.89882,                 1.3268,                 1.3116,                0.81209,                0.97145,                0.95405,                0.59942,                 1.1138,                 1.5916,                 1.5397,             0.00086278,             0.00086278,             0.00086278
                     36,                0.92839,                  1.345,                 1.3254,                0.87619,                0.97297,                0.99148,                 0.6946,                0.84383,                 1.1504,                   1.29,             0.00085502,             0.00085502,             0.00085502
                     37,                0.88324,                 1.2716,                  1.257,                0.87852,                0.98286,                0.98212,                0.68461,                 0.8304,                 1.2671,                 1.2349,             0.00084708,             0.00084708,             0.00084708
                     38,                0.93761,                 1.3481,                 1.3656,                0.89334,                0.91509,                0.98409,                0.72906,                0.80067,                 1.5499,                 1.2188,             0.00083896,             0.00083896,             0.00083896
                     39,                0.88788,                 1.2832,                 1.2439,                0.92434,                0.98355,                 0.9884,                0.71107,                0.80815,                 1.1404,                 1.2138,             0.00083068,             0.00083068,             0.00083068
                     40,                0.90712,                 1.3167,                 1.3022,                0.81509,                 0.9243,                0.97957,                 0.6737,                0.84703,                 1.3581,                 1.2508,             0.00082223,             0.00082223,             0.00082223
                     41,                0.86809,                  1.201,                 1.2735,                0.92342,                0.97297,                0.99186,                0.64504,                 1.0046,                 1.1988,                  1.428,             0.00081363,             0.00081363,             0.00081363
                     42,                0.87967,                 1.2714,                 1.2701,                0.82125,                0.95935,                0.96517,                 0.6718,                0.92913,                 1.4027,                 1.2915,             0.00080487,             0.00080487,             0.00080487
                     43,                0.88952,                  1.301,                 1.2943,                0.72529,                0.95386,                0.93275,                0.71661,                0.68374,                 1.3142,                 1.1545,             0.00079595,             0.00079595,             0.00079595
                     44,                0.89231,                 1.2484,                 1.3308,                0.65293,                0.81757,                0.84689,                0.57454,                 0.7905,                 1.8889,                 1.2318,             0.00078689,             0.00078689,             0.00078689
                     45,                 0.8564,                 1.2372,                 1.2604,                0.90438,                0.90707,                0.98127,                0.69749,                0.81547,                 1.3266,                 1.2588,             0.00077769,             0.00077769,             0.00077769
