                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2895,                  3.777,                 1.5373,                0.00452,                0.77778,                0.12747,                  0.037,                  1.773,                 4.0371,                 1.3029,             0.00064762,             0.00064762,             0.00064762
                      2,                  1.885,                 2.1223,                 1.2589,                 0.0028,                0.48148,                0.01409,                0.00398,                 1.8514,                 4.1462,                 1.3976,              0.0013025,              0.0013025,              0.0013025
                      3,                 1.8279,                 1.9488,                 1.2484,                0.72487,                0.24074,                0.47085,                0.16917,                  1.871,                 2.8531,                 1.4184,              0.0019453,              0.0019453,              0.0019453
                      4,                 1.7269,                 1.6718,                 1.2062,                0.53352,                0.51852,                0.49661,                0.20761,                 1.9041,                 2.1996,                 1.3832,               0.001946,               0.001946,               0.001946
                      5,                 1.6986,                 1.6239,                 1.1922,                0.67399,                0.42124,                0.58737,                0.27427,                  1.797,                 1.8328,                 1.3293,               0.001928,               0.001928,               0.001928
                      6,                 1.7678,                 1.6637,                  1.203,                0.77443,                0.42593,                0.59115,                0.26299,                 1.7266,                 1.8602,                 1.2377,                0.00191,                0.00191,                0.00191
                      7,                 1.6996,                  1.502,                  1.206,                 0.6427,                0.68519,                  0.685,                0.30848,                  1.616,                  1.636,                 1.3162,               0.001892,               0.001892,               0.001892
                      8,                 1.6963,                 1.4185,                  1.204,                0.55979,                0.58879,                0.60997,                0.19111,                 1.8838,                 1.7904,                 1.3678,               0.001874,               0.001874,               0.001874
                      9,                 1.6319,                 1.5488,                 1.1303,                0.64257,                 0.7037,                0.73312,                0.30524,                 1.8099,                 1.4548,                 1.2923,               0.001856,               0.001856,               0.001856
                     10,                 1.6489,                 1.4117,                 1.1454,                0.78877,                0.42593,                0.57593,                 0.2309,                 1.9189,                  1.869,                 1.3301,               0.001838,               0.001838,               0.001838
                     11,                 1.7106,                 1.3483,                 1.1541,                0.57339,                0.52276,                0.49476,                0.18077,                 1.8645,                 1.9174,                  1.363,                0.00182,                0.00182,                0.00182
                     12,                 1.6438,                 1.3649,                 1.1685,                0.85292,                0.53696,                0.65736,                0.24122,                 1.8677,                 1.6441,                 1.2839,               0.001802,               0.001802,               0.001802
                     13,                 1.6752,                 1.3473,                 1.1717,                0.65195,                0.64815,                0.70232,                0.27723,                 1.7122,                 1.4776,                 1.2597,               0.001784,               0.001784,               0.001784
                     14,                 1.6312,                 1.2798,                 1.1512,                0.61593,                0.65342,                0.69838,                0.31846,                  1.643,                 1.4281,                  1.196,               0.001766,               0.001766,               0.001766
